ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
AFFX-DapX-3_at	1.43e-16	2.61e-21	-31.2	32.610644	-12.5		
AFFX-r2-Bs-dap-3_at	2.23e-14	8.14e-19	-24.5	29.225935	-12.3		
AFFX-r2-Bs-thr-3_s_at	2.23e-13	1.22e-17	-21.9	27.400105	-11.0		
AFFX-r2-Bs-dap-M_at	3.26e-13	2.39e-17	-21.3	26.928173	-11.0		
AFFX-PheX-3_at	7.14e-13	6.53e-17	-20.4	26.202705	-7.92		
AFFX-ThrX-3_at	1.25e-12	1.45e-16	-19.7	25.617203	-10.1		
AFFX-PheX-M_at	1.25e-12	1.6e-16	-19.6	25.541271	-8.6		
AFFX-DapX-M_at	4.48e-12	6.55e-16	-18.4	24.475247	-9.36		
AFFX-ThrX-M_at	2.7e-11	4.45e-15	-17.0	22.975357	-7.74		
AFFX-LysX-M_at	1.31e-10	2.4e-14	-15.7	21.610706	-7.89		
AFFX-r2-Bs-phe-3_at	1.37e-10	2.75e-14	-15.6	21.497911	-8.42		
AFFX-r2-Bs-dap-5_at	3.13e-10	6.88e-14	-15.0	20.737994	-7.98		
AFFX-LysX-3_at	4.04e-10	9.6e-14	-14.8	20.45888	-8.16		
AFFX-r2-Bs-phe-M_at	9.54e-10	2.44e-13	-14.2	19.668791	-8.03		
AFFX-r2-Bs-lys-3_at	9.77e-10	2.68e-13	-14.1	19.590281	-7.52		
AFFX-DapX-5_at	2.44e-09	7.14e-13	-13.5	18.749455	-7.3		
AFFX-PheX-5_at	8.12e-09	2.53e-12	-12.7	17.650042	-6.55		
AFFX-r2-Bs-thr-M_s_at	1.02e-08	3.34e-12	-12.6	17.403758	-8.02		
AFFX-ThrX-5_at	1.13e-08	3.92e-12	-12.5	17.263276	-5.86		
216550_x_at	3.52e-08	1.29e-11	-11.8	16.207846	-3.11	ANKRD12	ankyrin repeat domain 12
AFFX-r2-Bs-lys-M_at	4.53e-08	1.82e-11	-11.6	15.89621	-7.87		
222633_at	1.13e-07	4.74e-11	-11.1	15.035894	-2.63	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1
235149_at	1.6e-07	7.03e-11	-10.9	14.679628	-2.8	PGM2L1	phosphoglucomutase 2 like 1
227612_at	2.92e-07	1.33e-10	-10.5	14.096293	-2.9	ELAVL3	ELAV like neuron-specific RNA binding protein 3
241060_x_at	3.09e-07	1.47e-10	-10.5	14.007051	-2.73		
242066_at	3.75e-07	1.85e-10	-10.4	13.795939	-4.07		
AFFX-LysX-5_at	3.99e-07	2.04e-10	-10.3	13.706685	-4.72		
214659_x_at	4.93e-07	2.62e-10	-10.2	13.479752	-2.52	YLPM1	YLP motif containing 1
239533_at	5.29e-07	2.9e-10	-10.1	13.384705	-2.84	GPR155	G protein-coupled receptor 155
1316_at	6.37e-07	3.61e-10	-10.0	13.183471	-2.87	THRA	thyroid hormone receptor, alpha
200914_x_at	6.71e-07	4e-10	-9.97	13.090302	-2.35	KTN1	kinectin 1
AFFX-r2-Bs-phe-5_at	6.71e-07	4.05e-10	-9.97	13.07806	-6.09		
1563947_a_at	6.73e-07	4.31e-10	-9.94	13.020564	-2.48	ERC1	ELKS/RAB6-interacting/CAST family member 1
224771_at	1.56e-06	1.11e-09	-9.47	12.142883	-2.65	NAV1	neuron navigator 1
208003_s_at	1.98e-06	1.52e-09	-9.32	11.850858	-2.43	NFAT5	nuclear factor of activated T-cells 5
209204_at	2.01e-06	1.62e-09	-9.29	11.791408	-2.24	LMO4	LIM domain only 4
204184_s_at	2.01e-06	1.63e-09	-9.29	11.791002	-2.32	GRK3	G protein-coupled receptor kinase 3
211993_at	2.2e-06	1.85e-09	-9.22	11.669703	-2.26	WNK1	WNK lysine deficient protein kinase 1
212417_at	2.21e-06	1.9e-09	-9.21	11.645105	-2.83	SCAMP1	secretory carrier membrane protein 1
224726_at	4.43e-06	3.95e-09	-8.86	10.962844	-2.14	MIB1	mindbomb E3 ubiquitin protein ligase 1
212451_at	4.43e-06	3.97e-09	-8.86	10.956698	-2.58	SECISBP2L	SECIS binding protein 2 like
230779_at	4.95e-06	4.58e-09	-8.8	10.824688	-1.77	TNRC6B	trinucleotide repeat containing 6B
226554_at	4.95e-06	4.61e-09	-8.79	10.816732	-2.21	ZBTB7A	zinc finger and BTB domain containing 7A
235560_at	5.79e-06	5.61e-09	-8.7	10.634112	-2.21	NOVA2	NOVA alternative splicing regulator 2
223134_at	7.11e-06	7.02e-09	-8.6	10.422764	-2.22	BBX	BBX, HMG-box containing
207966_s_at	9.68e-06	9.93e-09	-8.44	10.097073	-1.56	GLG1	golgi glycoprotein 1
201635_s_at	9.68e-06	1.01e-08	-8.43	10.081945	-2.9	FXR1	FMR1 autosomal homolog 1
