ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
225197_at	3.72e-08	1.43e-11	11.7	16.114774	2.28	C16orf72	chromosome 16 open reading frame 72
202021_x_at	6.73e-07	4.21e-10	9.95	13.041379	2.14	EIF1	eukaryotic translation initiation factor 1
219549_s_at	8e-07	5.27e-10	9.84	12.835086	2.66	RTN3	reticulon 3
212227_x_at	1.12e-06	7.56e-10	9.66	12.501205	2.09	EIF1	eukaryotic translation initiation factor 1
212130_x_at	1.22e-06	8.49e-10	9.6	12.393415	2.08	EIF1	eukaryotic translation initiation factor 1
200801_x_at	1.78e-06	1.3e-09	9.39	11.997388	2.01	ACTB	actin beta
209683_at	1.92e-06	1.44e-09	9.34	11.905787	2.22	FAM49A	family with sequence similarity 49 member A
220617_s_at	2.01e-06	1.66e-09	9.28	11.773037	2.47	ZNF532	zinc finger protein 532
222820_at	5.79e-06	5.51e-09	8.71	10.650379	2.32	TNRC6C	trinucleotide repeat containing 6C
212033_at	9.41e-06	9.47e-09	8.46	10.142222	1.67	RBM25	RNA binding motif protein 25
202623_at	1.08e-05	1.16e-08	8.37	9.95304	1.72	EAPP	E2F associated phosphoprotein
AFFX-HSAC07/X00351_3_at	1.21e-05	1.35e-08	8.3	9.806876	1.62	ACTB	actin beta
224594_x_at	1.76e-05	2.1e-08	8.1	9.393309	1.77	ACTB	actin beta
222582_at	1.85e-05	2.26e-08	8.07	9.320356	2.14	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2
213867_x_at	2.03e-05	2.56e-08	8.01	9.204506	1.77	ACTB	actin beta
208704_x_at	2.11e-05	2.71e-08	7.99	9.150734	2.2	APLP2	amyloid beta precursor like protein 2
217749_at	2.32e-05	3.09e-08	7.93	9.02572	2.1	COPG1	coatomer protein complex subunit gamma 1
217860_at	2.42e-05	3.27e-08	7.9	8.972484	1.83	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10
210371_s_at	3.21e-05	5.06e-08	7.71	8.56005	2.07	RBBP4	RB binding protein 4, chromatin remodeling factor
217936_at	3.9e-05	6.45e-08	7.61	8.328446	1.85	ARHGAP5	Rho GTPase activating protein 5
215416_s_at	3.9e-05	6.49e-08	7.6	8.323348	2.13	STOML2	stomatin like 2
202920_at	4.28e-05	7.59e-08	7.54	8.174286	1.85	ANK2	ankyrin 2, neuronal
235066_at	4.82e-05	8.99e-08	7.46	8.013411	2.06	MAP4	microtubule associated protein 4
223144_s_at	4.96e-05	9.33e-08	7.45	7.977688	1.86	AKIRIN2	akirin 2
209953_s_at	5.44e-05	1.08e-07	7.38	7.835812	3.25	CDC37	cell division cycle 37
202072_at	5.55e-05	1.15e-07	7.36	7.782079	3.16	HNRNPL	heterogeneous nuclear ribonucleoprotein L
1555272_at	6.57e-05	1.5e-07	7.24	7.525365	1.68	RSPH10B2///RSPH10B	radial spoke head 10 homolog B2///radial spoke head 10 homolog B
205738_s_at	7.34e-05	1.73e-07	7.18	7.389571	3.0	FABP3	fatty acid binding protein 3
205273_s_at	7.81e-05	1.94e-07	7.14	7.279678	1.48	PITRM1	pitrilysin metallopeptidase 1
217815_at	7.82e-05	1.96e-07	7.13	7.271868	1.34	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
200947_s_at	8.25e-05	2.14e-07	7.09	7.186961	1.63	GLUD1	glutamate dehydrogenase 1
221428_s_at	8.65e-05	2.31e-07	7.06	7.114338	3.54	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1
208720_s_at	9.01e-05	2.42e-07	7.04	7.068972	1.52	RBM39	RNA binding motif protein 39
205353_s_at	0.000102	2.77e-07	6.99	6.940521	1.38	PEBP1	phosphatidylethanolamine binding protein 1
227322_s_at	0.000105	3e-07	6.95	6.865609	1.74	BCCIP	BRCA2 and CDKN1A interacting protein
207132_x_at	0.000117	3.37e-07	6.9	6.753	1.69	PFDN5	prefoldin subunit 5
210908_s_at	0.000121	3.51e-07	6.89	6.714199	1.69	PFDN5	prefoldin subunit 5
205463_s_at	0.00014	4.46e-07	6.79	6.486924	1.78	PDGFA	platelet derived growth factor subunit A
200006_at	0.000144	4.6e-07	6.77	6.456394	1.45	PARK7	Parkinsonism associated deglycase
224666_at	0.000152	4.98e-07	6.74	6.380283	1.45	NSMCE1	NSE1 homolog, SMC5-SMC6 complex component
208703_s_at	0.000152	4.99e-07	6.74	6.379718	2.16	APLP2	amyloid beta precursor like protein 2
203146_s_at	0.000162	5.4e-07	6.71	6.303244	1.54	GABBR1	gamma-aminobutyric acid type B receptor subunit 1
201020_at	0.000162	5.41e-07	6.71	6.301747	3.29	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
200980_s_at	0.00017	5.85e-07	6.67	6.227227	1.56	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
201526_at	0.000171	6.02e-07	6.66	6.19988	2.15	ARF5	ADP ribosylation factor 5
203482_at	0.000172	6.06e-07	6.66	6.194041	1.38	SLF2	SMC5-SMC6 complex localization factor 2
213927_at	0.000185	6.73e-07	6.62	6.093643	1.31	MAP3K9	mitogen-activated protein kinase kinase kinase 9
208248_x_at	0.000188	6.95e-07	6.6	6.062529	1.68	APLP2	amyloid beta precursor like protein 2
223193_x_at	0.000189	7.1e-07	6.59	6.041492	2.33	FAM162A	family with sequence similarity 162 member A
209026_x_at	0.000191	7.24e-07	6.59	6.023165	2.08	TUBB	tubulin beta class I
200811_at	0.000191	7.27e-07	6.59	6.018894	1.73	CIRBP	cold inducible RNA binding protein
201552_at	0.000207	8.17e-07	6.54	5.907883	1.82	LAMP1	lysosomal associated membrane protein 1
230427_s_at	0.00021	8.41e-07	6.53	5.879378	1.37	BAG5	BCL2 associated athanogene 5
203197_s_at	0.00023	1e-06	6.45	5.711917	1.58	C1orf123	chromosome 1 open reading frame 123
200932_s_at	0.00023	1.01e-06	6.45	5.704168	1.27	DCTN2	dynactin subunit 2
217818_s_at	0.00023	1.02e-06	6.45	5.691244	2.78	ARPC4	actin related protein 2/3 complex subunit 4
205794_s_at	0.00023	1.03e-06	6.44	5.689232	2.01	NOVA1	NOVA alternative splicing regulator 1
218546_at	0.00023	1.03e-06	6.44	5.685816	1.65	C1orf115	chromosome 1 open reading frame 115
210425_x_at	0.000232	1.04e-06	6.44	5.673777	2.63	LOC101930583///GOLGA8B///GOLGA8A	uncharacterized LOC101930583///golgin A8 family member B///golgin A8 family member A
202397_at	0.000234	1.07e-06	6.43	5.646036	1.29	NUTF2P4///NUTF2	nuclear transport factor 2 pseudogene 4///nuclear transport factor 2
201011_at	0.000242	1.15e-06	6.4	5.582992	1.52	RPN1	ribophorin I
220864_s_at	0.000242	1.15e-06	6.4	5.581454	1.86	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13
213486_at	0.000253	1.22e-06	6.37	5.520347	2.08	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)
204415_at	0.000263	1.31e-06	6.34	5.454775	2.17	IFI6	interferon alpha inducible protein 6
226018_at	0.000266	1.35e-06	6.33	5.42848	2.25	MTURN	maturin, neural progenitor differentiation regulator homolog (Xenopus)
213065_at	0.000272	1.39e-06	6.32	5.39816	1.12	ZFC3H1	zinc finger C3H1-type containing
200876_s_at	0.000289	1.51e-06	6.29	5.321121	1.87	PSMB1	proteasome subunit beta 1
201400_at	0.000314	1.71e-06	6.24	5.19857	1.82	PSMB3	proteasome subunit beta 3
220642_x_at	0.000314	1.72e-06	6.24	5.197139	1.66	GPR89A///GPR89B	G protein-coupled receptor 89A///G protein-coupled receptor 89B
200967_at	0.000319	1.75e-06	6.23	5.175418	1.32	PPIB	peptidylprolyl isomerase B
202858_at	0.000319	1.76e-06	6.23	5.174616	1.95	U2AF1	U2 small nuclear RNA auxiliary factor 1
220948_s_at	0.000328	1.85e-06	6.21	5.125837	1.76	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1
228763_at	0.000328	1.85e-06	6.2	5.123376	1.66	NEDD8-MDP1///MDP1	NEDD8-MDP1 readthrough///magnesium dependent phosphatase 1
202041_s_at	0.000354	2e-06	6.17	5.047494	1.33	FIBP	FGF1 intracellular binding protein
211714_x_at	0.00036	2.07e-06	6.16	5.015179	2.1	TUBB	tubulin beta class I
219342_at	0.00036	2.08e-06	6.16	5.010573	2.09	CASD1	CAS1 domain containing 1
223011_s_at	0.000372	2.18e-06	6.14	4.968056	2.07	OCIAD1	OCIA domain containing 1
