ID	GENE_SYMBOL
4	HEBP1
5	KCNE4
6	BPIFA3
7	LOC100129869
8	IRG1
9	SNAR-G2
10	LOC100506844
11	CKLF
12	MGST2
13	CLK1
14	OCLM
15	CASC2
16	PWRN1
17	MBNL3
18	CYB5R4
19	HOXC4
20	AK3
22	FAR1
23	XLOC_l2_013153
24	LOC100129203
25	MAPK8
26	THAP3
27	XLOC_005939
28	TMEM14B
29	XLOC_005179
30	PHLPP1
31	KRT1
32	SDC4
33	XLOC_l2_015038
36	DKFZp547G183
38	LOC286087
39	LOC389634
40	UBAP2L
41	TRAF4
42	FAM75C2
43	HAL
44	FUCA1
45	FCER1A
46	XLOC_001975
47	SMNDC1
48	LOC100507291
50	DHX57
51	TCERG1L
52	XLOC_010597
53	PAFAH1B1
54	Q3AHP4
55	MT1X
56	LOC389831
57	TMEM191B
59	C17orf104
61	RNF13
62	PICALM
63	TRIM78P
64	SSFA2
65	DNAJA4
66	ACIN1
67	PRKD1
68	MAP3K9
69	SORD
70	XLOC_001602
71	SCGB1D4
72	LOC100287813
73	ZNF346
74	XLOC_000934
75	PCDH9
76	XLOC_014042
77	FIG4
78	ZSCAN21
79	IFNG
80	CISH
81	SCXA
82	TUBGCP3
83	FAS
84	XLOC_006644
85	EFNB2
86	CYP2S1
87	HSP90AA1
88	XLOC_001128
89	APOA1
90	MPRIP
91	RASGRP3
92	PRPF40B
93	TPTE2P6
94	EMX2
96	XLOC_005512
97	OGFOD2
98	IZUMO2
99	XLOC_004428
101	HRAS
102	XLOC_l2_008731
103	XLOC_009428
104	LOC389199
106	SPAG5-AS1
107	MSRB3
109	THOC2
110	XLOC_008342
111	XLOC_005586
112	LOC100294362
113	XLOC_006364
114	LOC100507013
116	FLJ30838
117	ISY1-RAB43
118	TLN1
119	MSH3
120	IL25
121	XLOC_002880
122	LOC221442
123	DPCR1
125	FLJ43663
126	LOC100216546
127	FMOD
128	GGT3P
129	XLOC_009383
130	LOC401463
131	LOC286114
132	MPP4
134	LOC645321
135	GSTCD
136	MCTS1
137	XLOC_001398
138	ERLEC1
139	XLOC_004562
140	CENPN
141	TEX15
142	XLOC_002878
143	SIX5
144	CADM2
145	SUMO3
146	FBXO33
147	XLOC_010200
148	XLOC_001637
149	USP1
150	PPIA
151	NPEPPS
152	TXNDC17
153	AADACL4
154	C12orf51
155	LFNG
156	XLOC_002996
158	XLOC_006949
159	XLOC_003521
160	ANKZF1
161	XLOC_l2_002204
167	SYNGR1
169	XLOC_010503
170	CTNND2
172	XLOC_002049
173	GPSM1
175	XLOC_002968
176	ZFP36L2
177	SNORA26
178	XLOC_l2_004944
179	NGRN
180	RABGAP1
181	TSEN15
182	C1orf31
183	MS4A5
184	C6orf89
185	TBCD
187	ATP6V0D2
188	KDR
189	POLDIP3
190	ABCF2
191	HMGCS2
192	XLOC_l2_013442
193	FONG
194	XLOC_004405
195	SLC9A7
196	FLJ26245
197	LOC100506867
198	ZNF195
199	XLOC_005991
200	RNF157
201	LOC100506235
202	CUTA
203	CRIM1
205	XLOC_011080
206	LOC100134285
207	XLOC_004988
208	OAZ2
209	RPL23AP7
211	SYT8
212	MMP2
213	WIPI2
214	XLOC_l2_009273
215	CHRM3
216	XLOC_014183
217	CPT1A
218	GNASAS
219	ZNF596
220	C1orf183
222	OR8B4
223	NUS1
225	ACAN
226	XLOC_l2_013648
227	SLC19A1
228	OTOG
229	XLOC_l2_014565
230	TSPAN8
231	XLOC_010491
232	ARHGAP24
233	XLOC_013528
234	XLOC_001281
235	XLOC_011421
236	SPATA21
237	EIF4G3
238	NAV2
239	LSM2
240	MAFF
241	WDR43
242	KHSRP
243	UPF2
244	NAP1L1
245	XKR6
246	XLOC_007543
247	XLOC_009365
248	XLOC_012139
249	XLOC_014105
250	SPAG17
251	MEAF6
252	XLOC_l2_005871
253	XLOC_012116
254	XLOC_l2_009172
255	LOC145837
256	PREP
257	PLCG2
259	LOC100287765
261	IL1A
262	GOLGA6L9
263	HRH2
265	MYB
266	H2BFXP
267	XLOC_l2_010936
268	PCDHA4
269	XXYLT1
270	SEC24A
271	LOC100505478
272	BRP44L
273	FSTL5
274	POLR3F
275	UNC80
276	KATNA1
277	LOC729032
279	ZCCHC6
280	CAST
281	KIAA0196
282	LRRIQ3
283	NANS
284	C4orf40
285	ZNF117
286	PPP2R2C
288	C1orf213
289	THADA
290	NEDD4L
291	XLOC_003840
292	B4GALNT1
293	HLA-DPB1
294	DST
295	ZBTB11
296	XLOC_l2_009886
297	FAM65C
298	MESDC1
299	XLOC_010399
300	CHST5
302	SNORA26
303	CCDC99
304	SEPW1
305	VTI1A
306	NPC1
308	FCER1G
310	HSP90AB1
311	MCHR2
312	XLOC_004674
313	CECR2
314	INTS8
315	BRCC3
316	AFM
317	FMN1
318	FAM74A1
319	PADI3
320	ZNF362
321	LACC1
322	XLOC_001517
323	C1orf21
324	LINC00229
325	TPM2
331	BCAS1
333	XLOC_l2_004706
334	MTRNR2L5
335	RAF1
336	XLOC_l2_008321
337	Q7Z2X8
338	PROSC
339	XLOC_l2_015673
340	CLCC1
341	XLOC_011686
342	XLOC_003406
343	GUSB
344	HBG1
345	ARFIP1
347	XLOC_l2_013427
348	NOS2
349	XLOC_002773
350	LOC100652730
351	ICMT
352	XLOC_004636
353	XLOC_008061
354	XLOC_010517
355	XLOC_004875
356	GPBP1L1
357	MFSD9
358	CNOT10
359	SNORA11B
360	IGF1
361	XLOC_000982
